Network,Address,Contract Name,Method,Role,Wallet,Identity
Ethereum,0x90cCF2C4b3DEe7aeac9AF5950a7C60f89AF1db00,AegisConfig,whitelistAddress (single),onlyOperator,0x4a09579f3f07C474436eCbe6c4D4fF4111795650,Server Trusted Signer
Ethereum,0x90cCF2C4b3DEe7aeac9AF5950a7C60f89AF1db00,AegisConfig,whitelistAddress (batch),onlyOperator,0x4a09579f3f07C474436eCbe6c4D4fF4111795650,Server Trusted Signer
Ethereum,0x90cCF2C4b3DEe7aeac9AF5950a7C60f89AF1db00,AegisConfig,enableWhitelist,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x90cCF2C4b3DEe7aeac9AF5950a7C60f89AF1db00,AegisConfig,disableWhitelist,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x90cCF2C4b3DEe7aeac9AF5950a7C60f89AF1db00,AegisConfig,setTrustedSigner,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x90cCF2C4b3DEe7aeac9AF5950a7C60f89AF1db00,AegisConfig,setOperator,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,approveRedeemRequest,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,rejectRedeemRequest,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,mintForCrossChain,onlyCrossChainOperator,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,burnForCrossChain,onlyCrossChainOperator,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,depositIncome,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,transferToCustody,COLLATERAL_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,forceTransferToCustody,COLLATERAL_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,setAegisRewardsAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,setAegisConfigAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,setInsuranceFundAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,setFeedRegistryAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,setAegisOracleAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc4df68e592245ca5202fe8b7c438d2b799820fc2,AegisMinting,setCrossChainOperator,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
